Date,Region,Facility,Energy_MWh,Emission_Factor,Production,Emissions_tCO2,Waste_Kg,Renewable_percent,Transport_Emissions,PolicyWeight
"Friday, November 01, 2024",Region 1,Facility 2,122.59879,EF,193.0,0.22,11343.0,40.0,0,0.8
"Tuesday, November 01, 2022",Region 2,Facility 1,125.357,EF,2185.0,10.04,13270.0,,0,1.2
"Saturday, June 01, 2024",Region 1,Facility 2,125.57526,EF,293.0,0.31,8353.0,40.0,0,0.8
"Thursday, May 01, 2025",Region 1,Facility 2,126.12372,EF,162.0,0.53,16690.0,40.0,0,0.8
"Sunday, September 01, 2024",Region 1,Facility 2,128.37407,EF,33.0,0.58,10197.0,40.0,0,0.8
"Monday, April 01, 2024",Region 1,Facility 2,128.50849,EF,203.0,0.31,8996.0,40.0,0,0.8
"Wednesday, May 01, 2024",Region 2,Facility 1,129.895,EF,3268.0,9.62,10640.0,40.0,0,1.2
"Tuesday, April 01, 2025",Region 1,Facility 2,131.20151,EF,262.0,0.3,12994.0,40.0,0,0.8
"Wednesday, January 01, 2025",Region 2,Facility 1,134.7622,EF,5057.0,24.8,42991.0,,0,1.2
"Saturday, February 01, 2025",Region 2,Facility 1,136.287,EF,3868.0,25.08,39521.0,,0,1.2
"Friday, December 01, 2023",Region 2,Facility 1,140.749,EF,4004.42,9.59,27820.0,,0,1.2
"Wednesday, November 01, 2023",Region 2,Facility 1,140.749,EF,4004.42,9.59,27820.0,,0,1.2
"Monday, April 01, 2024",Region 1,Facility 33,141.56913,EF,739.86,0.04,47241.36,40.0,0,0.8
"Tuesday, October 01, 2024",Region 1,Facility 2,142.11579,EF,251.0,0.58,9742.0,40.0,0,0.8
"Saturday, April 01, 2023",Region 2,Facility 1,142.871,EF,2067.0,12.25,20000.0,,0,1.2
"Wednesday, May 01, 2024",Region 1,Facility 2,143.01776,EF,104.0,0.31,5906.0,40.0,0,0.8
"Friday, March 01, 2024",Region 2,Facility 1,144.412,EF,2656.0,14.17,1440.0,40.0,0,1.2
"Saturday, February 01, 2025",Region 1,Facility 3,144.85842,EF,2208.2,6.06,18680.0,40.0,0,0.8
"Thursday, February 01, 2024",Region 1,Facility 34,146.16037,EF,390.0,8.85,13380.0,40.0,0,0.8
"Wednesday, November 01, 2023",Region 1,Facility 3,149.41973,EF,984.5,6.99,13373.0,40.0,0,0.8
"Thursday, December 01, 2022",Region 2,Facility 1,150.544,EF,2700.0,13.63,7160.0,,0,1.2
"Sunday, June 01, 2025",Region 1,Facility 3,153.31441,EF,1694.74,6.74,17564.0,40.0,0,0.8
"Friday, November 01, 2024",Region 2,Facility 1,155.909,EF,3101.5,14.38,9780.0,40.0,0,1.2
"Sunday, December 01, 2024",Region 1,Facility 3,156.81642,EF,1776.94,6.57,16096.0,40.0,0,0.8
"Wednesday, May 01, 2024",Region 1,Facility 34,158.30049,EF,769.0,7.62,24060.0,40.0,0,0.8
"Saturday, March 01, 2025",Region 1,Facility 3,159.62769,EF,1802.73,6.74,29300.0,40.0,0,0.8
"Tuesday, April 01, 2025",Region 1,Facility 3,162.19905,EF,2027.36,7.72,17591.0,40.0,0,0.8
"Saturday, June 01, 2024",Region 1,Facility 34,164.40183,EF,704.0,6.51,33205.0,40.0,0,0.8
"Wednesday, January 01, 2025",Region 1,Facility 3,164.86141,EF,1623.39,7.08,17378.0,40.0,0,0.8
"Friday, August 01, 2025",Region 1,Facility 3,165.25174,EF,1631.62,6.93,14850.0,40.0,0,0.8
"Friday, April 01, 2022",Region 2,Facility 1,166.302,EF,4747.0,13.61,28000.0,,0,1.2
"Sunday, May 01, 2022",Region 1,Facility 33,171.91829,EF,824.0,1.22,24743.0,40.0,0,0.8
"Sunday, December 01, 2024",Region 3,Facility 35,172.13722,EF,2258.13,0.42,171939.0,40.0,0,0.8
"Friday, December 01, 2023",Region 1,Facility 3,173.28329,EF,1967.78,7.87,15888.0,40.0,0,0.8
"Thursday, February 01, 2024",Region 2,Facility 1,173.616,EF,3624.5,16.41,18020.0,40.0,0,1.2
"Friday, November 01, 2024",Region 1,Facility 3,176.64571,EF,2240.32,7.74,18613.0,40.0,0,0.8
"Wednesday, March 01, 2023",Region 2,Facility 1,177.318,EF,3049.0,17.67,34420.0,,0,1.2
"Sunday, January 01, 2023",Region 2,Facility 1,178.144,EF,3743.0,18.58,15070.0,,0,1.2
"Thursday, August 01, 2024",Region 1,Facility 3,183.13598,EF,1826.27,8.57,12313.0,40.0,0,0.8
"Thursday, December 01, 2022",Region 1,Facility 3,183.33575,EF,1474.04,10.39,17014.0,40.0,0,0.8
"Tuesday, February 01, 2022",Region 1,Facility 4,183.37249,EF,3635.0,1.66,31829.0,40.0,0,0.8
"Wednesday, February 01, 2023",Region 3,Facility 35,185.531,EF,2127.0,0.0,211463.1,40.0,0,0.8
"Tuesday, July 01, 2025",Region 1,Facility 3,185.75678,EF,1934.76,7.72,19149.0,40.0,0,0.8
"Thursday, May 01, 2025",Region 1,Facility 3,187.25038,EF,1900.75,7.44,17825.0,40.0,0,0.8
"Friday, December 01, 2023",Region 3,Facility 35,187.533,EF,2119.38,0.0,159886.3,40.0,0,0.8
"Sunday, September 01, 2024",Region 1,Facility 3,188.5411,EF,1630.01,7.47,14033.0,40.0,0,0.8
"Wednesday, June 01, 2022",Region 1,Facility 3,189.6805,EF,2367.69,10.09,20768.0,40.0,0,0.8
"Saturday, January 01, 2022",Region 1,Facility 3,189.78409,EF,2127.93,10.09,21263.0,40.0,0,0.8
"Thursday, December 01, 2022",Region 3,Facility 35,190.33,EF,2321.2,0.0,194171.0,40.0,0,0.8
"Saturday, June 01, 2024",Region 1,Facility 3,191.2322,EF,2248.09,10.99,13611.0,40.0,0,0.8
"Friday, April 01, 2022",Region 1,Facility 3,191.37401,EF,2168.23,11.19,27292.0,40.0,0,0.8
"Wednesday, February 01, 2023",Region 2,Facility 1,191.446,EF,3278.0,19.5,17100.0,,0,1.2
"Tuesday, October 01, 2024",Region 1,Facility 3,191.4581,EF,2128.7,7.84,17275.0,40.0,0,0.8
"Sunday, December 01, 2024",Region 2,Facility 1,192.212,EF,3299.0,19.76,58571.0,40.0,0,1.2
"Monday, August 01, 2022",Region 3,Facility 35,192.984,EF,1827.9,0.0,183729.0,40.0,0,0.8
"Thursday, February 01, 2024",Region 1,Facility 5,198.29577,EF,1571.0,28.38,21248.0,40.0,0,0.8
"Friday, December 01, 2023",Region 1,Facility 5,201.23635,EF,1532.0,26.39,19546.4,40.0,0,0.8
"Wednesday, February 01, 2023",Region 1,Facility 5,201.77277,EF,1767.0,30.14,23501.67,40.0,0,0.8
"Tuesday, March 01, 2022",Region 1,Facility 3,202.78851,EF,2543.79,12.07,24469.0,40.0,0,0.8
"Friday, September 01, 2023",Region 1,Facility 3,203.72489,EF,3308.05,9.16,20431.0,40.0,0,0.8
"Saturday, July 01, 2023",Region 1,Facility 3,204.58489,EF,2359.78,10.29,17992.0,40.0,0,0.8
"Thursday, February 01, 2024",Region 3,Facility 35,206.96435,EF,3282.41,0.42,216016.9,40.0,0,0.8
"Thursday, February 01, 2024",Region 1,Facility 3,207.67846,EF,1825.77,10.86,22652.0,40.0,0,0.8
"Friday, July 01, 2022",Region 1,Facility 3,207.90712,EF,2328.83,12.9,22962.0,40.0,0,0.8
"Thursday, June 01, 2023",Region 1,Facility 3,208.30825,EF,2114.51,11.16,21136.0,40.0,0,0.8
"Wednesday, May 01, 2024",Region 1,Facility 3,208.55907,EF,2424.88,10.83,21604.0,40.0,0,0.8
"Sunday, October 01, 2023",Region 1,Facility 3,208.75145,EF,2311.69,10.1,19599.0,40.0,0,0.8
